ID	Value
hhd1	ताजा\JJ साँसें\N_NN और\CC_CCD चमचमाते\JJ दाँत\N_NN आपके\PR_PRP व्यक्तित्व\N_NN को\PSP निखारते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd2	दाँतों\N_NN से\PSP आपका\PR_PRP आत्मविश्‍वास\N_NN भी\RP_RPD बढ़ता\V_VM है\V_VAUX ।\RD_PUNC
hhd3	हमारे\PR_PRP मसूढ़ों\N_NN और\CC_CCD दाँतों\N_NN के\PSP बीच\PSP बैक्टीरिया\N_NN मौजूद\N_NN होते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd4	ये\DM_DMD दाँतों\N_NN को\PSP गंदा\JJ और\CC_CCD साँसों\N_NN को\PSP बदबूदार\JJ बना\V_VM देते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd5	यहाँ\DM_DMD दिए\V_VM कुछ\QT_QTF आसान\JJ नुस्खों\N_NN की\PSP मदद\N_NN से\PSP आप\PR_PRP अपने\PR_PRF दाँतों\N_NN को\PSP स्वच्छ\JJ और\CC_CCD साँसों\N_NN को\PSP ताजा\JJ रख\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd6	दाँतों\N_NN को\PSP ठीक\JJ से\PSP साफ\N_NN करें\V_VM ।\RD_PUNC
hhd7	दाँतों\N_NN को\PSP ठीक\JJ से\PSP साफ\JJ करने\V_VM में\PSP दो\QT_QTC से\PSP तीन\QT_QTC मिनट\N_NN का\PSP समय\N_NN लगता\V_VM है\V_VAUX ।\RD_PUNC
hhd8	लेकिन\CC_CCS ज्यादातर\QT_QTF लोग\N_NN इसके\PR_PRP लिए\PSP एक\QT_QTC मिनट\N_NN से\PSP भी\RP_RPD कम\QT_QTF समय\N_NN देते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd9	खूब\QT_QTF पानी\N_NN पीएँ\V_VM ।\RD_PUNC
hhd10	मुँह\N_NN सूखने\V_VM पर\PSP बैक्टीरिया\N_NN हमला\N_NN तेज\JJ कर\V_VM देते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd11	इससे\PR_PRP साँसों\N_NN से\PSP बदबू\N_NN आने\V_VM लगती\V_VAUX है\V_VAUX ।\RD_PUNC
hhd12	खूब\QT_QTF पानी\N_NN पीने\V_VM से\PSP न\RP_NEG केवल\QT_QTF खाने\V_VM के\PSP बचे\V_VM -\RD_PUNC खुचे\RD_ECH टुकड़े\N_NN साफ\JJ हो\V_VM जाते\V_VAUX हैं\V_VAUX ,\RD_PUNC बल्कि\CC_CCD लार\N_NN भी\RP_RPD बनती\V_VM है\V_VAUX ।\RD_PUNC
hhd13	मुँह\N_NN साफ\JJ रखने\V_VM में\PSP लार\N_NN की\PSP खास\JJ भूमिका\N_NN होती\V_VM है\V_VAUX ।\RD_PUNC
hhd14	लार\N_NN उन\PR_PRP बैक्टीरिया\N_NN को\PSP नष्ट\N_NN करती\V_VM है\V_VAUX जो\PR_PRP साँसों\N_NN में\PSP बदबू\N_NN पैदा\N_NN करते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd15	चबाएँ\V_VM शुगर\N_NN रहित\N_NN चुइंग\N_NN गम\N_NN ।\RD_PUNC
hhd16	चुइंग\N_NN गम\N_NN चबाने\V_VM से\PSP लार\N_NN बनती\V_VM है\V_VAUX ।\RD_PUNC
hhd17	चुइंग\N_NN गम\N_NN से\PSP दाँतों\N_NN को\PSP साफ\JJ रखने\N_NN में\PSP मदद\N_NN मिलती\V_VM है\V_VAUX ।\RD_PUNC
hhd18	शुगर\N_NN युक्त\N_NN गम\N_NN को\PSP सेहत\N_NN के\PSP लिए\PSP अच्छा\JJ नहीं\RP_NEG माना\V_VM जाता\V_VAUX ।\RD_PUNC
hhd19	इसलिए\RB डेंटिस्ट\N_NN शुगर\N_NN युक्त\N_NN गम\N_NN को\PSP खाने\V_VM की\PSP सलाह\N_NN नहीं\RP_NEG देते\V_VM ।\RD_PUNC
hhd20	नियमित\JJ रूप\N_NN से\PSP कराएँ\V_VM दाँतों\N_NN की\PSP जाँच\N_NN ।\RD_PUNC
hhd21	दंतचिकित्सक\N_NN से\PSP दाँतों\N_NN की\PSP जाँच\N_NN नियमित\JJ रूप\N_NN से\PSP कराएँ\V_VM ।\RD_PUNC
hhd22	वे\PR_PRP दाँतों\N_NN की\PSP छोटी\JJ -\RD_PUNC मोटी\JJ समस्या\N_NN को\PSP आसानी\JJ से\PSP सुलझा\N_NN देते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd23	खाने\V_VM के\PSP बाद\NST मुँह\N_NN साफ\JJ करें\V_VM ।\RD_PUNC
hhd24	हर\QT_QTF बार\N_NN खाने\V_VM के\PSP बाद\N_NST पानी\N_NN से\PSP मुँह\N_NN जरूर\N_NN साफ\JJ करें\V_VM ।\RD_PUNC
hhd25	इससे\PR_PRL खाने\N_NN के\PSP बचे\V_VM हुए\V_VAUX टुकड़े\N_NN साफ\JJ हो\V_VM जाते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd26	नींबू\N_NN और\CC_CCD नमक\N_NN के\PSP मिश्रण\N_NN से\PSP दाँत\N_NN साफ\JJ करें\V_VM ।\RD_PUNC
hhd27	एक\QT_QTC चम्मच\N_NN में\PSP नमक\N_NN लेकर\V_VM उसमें\PR_PRP तीन\QT_QTC से\PSP चार\QT_QTC बूंदें\N_NN नींबू\N_NN की\PSP डाल\V_VM लें\V_VAUX ।\RD_PUNC
hhd28	हर\QT_QTF हफ्ते\N_NN इस\DM_DMD मिश्रण\N_NN से\PSP दाँतों\N_NN को\PSP साफ\JJ करें\V_VM ।\RD_PUNC
hhd29	इससे\DM_DMD न\RP_NEG केवल\QT_QTF दाँत\N_NN चमचमाने\JJ लगते\V_VM हैं\V_VAUX ।\RD_PUNC
